Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
1,4.0,Mobile Phone,3.0,6.0,Debit Card,Female,3.0,3.0,Laptop & Accessory,2.0,Single,9.0,1.0,11.0,1.0,1.0,5.0,160.0
1,10.189899366380917,Mobile Phone,1.0,8.0,UPI,Male,3.0,4.0,Mobile,3.0,Single,7.0,1.0,15.0,0.0,1.0,0.0,121.0
1,10.189899366380917,Mobile Phone,1.0,30.0,Debit Card,Male,2.0,4.0,Mobile,3.0,Single,6.0,1.0,14.0,0.0,1.0,3.0,120.0
1,0.0,Mobile Phone,3.0,15.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,5.0,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.0
1,0.0,Mobile Phone,1.0,12.0,CC,Male,2.9315348837209303,3.0,Mobile,5.0,Single,3.0,0.0,11.0,1.0,1.0,3.0,130.0
1,0.0,Computer,1.0,22.0,Debit Card,Female,3.0,5.0,Mobile Phone,5.0,Single,2.0,1.0,22.0,1.0,2.0,7.0,139.0
1,10.189899366380917,Mobile Phone,3.0,11.0,COD,Male,2.0,3.0,Laptop & Accessory,2.0,Divorced,4.0,0.0,14.0,0.0,1.0,0.0,121.0
1,10.189899366380917,Mobile Phone,1.0,6.0,CC,Male,3.0,3.0,Mobile,2.0,Divorced,3.0,1.0,16.0,2.0,2.0,0.0,123.0
1,13.0,Mobile Phone,3.0,9.0,E wallet,Male,2.9315348837209303,4.0,Mobile,3.0,Divorced,2.0,1.0,14.0,0.0,1.0,2.0,127.0
1,10.189899366380917,Mobile Phone,1.0,31.0,Debit Card,Male,2.0,5.0,Mobile,3.0,Single,2.0,0.0,12.0,1.0,1.0,1.0,123.0
